1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,17078,0.000997781753540039
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16769,0.000997781753540039
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16662,0.000997781753540039
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,17247,0.001997709274291992
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16988,0.001997709274291992
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16271,0.0030083656311035156
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16394,0.0030083656311035156
1.14,1.61,1.05,0.8,1.39,1.82,0.13,0.62,0.25,16805,0.0030083656311035156
1.14,1.61,1.05,0.8,1.39,1.82,0.13,0.62,0.24,16766,0.0040073394775390625
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16451,0.0040073394775390625
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16270,0.0040073394775390625
1.13,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16115,0.0049970149993896484
1.14,1.6,1.05,0.8,1.39,1.82,0.13,0.62,0.24,16370,0.0049970149993896484
1.13,1.61,1.05,0.79,1.39,1.81,0.13,0.62,0.25,16403,0.0049970149993896484
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16244,0.006007671356201172
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16233,0.006007671356201172
1.13,1.6,1.06,0.8,1.39,1.81,0.14,0.62,0.25,16768,0.006007671356201172
1.14,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16929,0.006998300552368164
1.14,1.6,1.06,0.8,1.39,1.81,0.13,0.62,0.25,16768,0.006998300552368164
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16253,0.00799703598022461
1.14,1.6,1.06,0.8,1.39,1.82,0.14,0.62,0.24,16226,0.00799703598022461
1.13,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16407,0.00799703598022461
1.14,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16152,0.009007453918457031
1.14,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16421,0.009007453918457031
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16594,0.009007453918457031
1.14,1.61,1.06,0.8,1.39,1.81,0.13,0.62,0.25,16761,0.010007619857788086
1.15,1.61,1.06,0.79,1.39,1.82,0.13,0.62,0.24,16456,0.010007619857788086
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16385,0.010007619857788086
1.14,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16446,0.010995149612426758
1.14,1.61,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16359,0.010995149612426758
1.14,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16940,0.011997222900390625
1.14,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16649,0.011997222900390625
1.14,1.6,1.06,0.8,1.39,1.81,0.13,0.62,0.25,16416,0.011997222900390625
1.14,1.6,1.06,0.8,1.39,1.81,0.13,0.63,0.25,16607,0.012998342514038086
1.14,1.6,1.06,0.8,1.4,1.82,0.13,0.62,0.25,16236,0.012998342514038086
1.14,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16479,0.012998342514038086
1.14,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.24,16664,0.014007568359375
1.14,1.6,1.06,0.79,1.39,1.82,0.13,0.62,0.24,16973,0.014007568359375
1.14,1.6,1.06,0.8,1.4,1.82,0.13,0.62,0.24,17382,0.014007568359375
1.14,1.6,1.06,0.8,1.39,1.82,0.13,0.62,0.25,16601,0.014997720718383789
1.14,1.6,1.06,0.8,1.39,1.81,0.13,0.62,0.24,16342,0.014997720718383789
1.14,1.6,1.06,0.79,1.4,1.81,0.13,0.62,0.24,16939,0.014997720718383789
1.14,1.6,1.06,0.8,1.4,1.81,0.13,0.62,0.24,16790,0.01599740982055664
1.14,1.6,1.06,0.79,1.4,1.82,0.13,0.62,0.24,16601,0.01599740982055664
1.13,1.6,1.06,0.8,1.4,1.82,0.13,0.62,0.24,16310,0.017007827758789062
1.14,1.6,1.06,0.79,1.4,1.82,0.13,0.62,0.24,16629,0.017007827758789062
1.14,1.6,1.06,0.8,1.4,1.82,0.13,0.62,0.24,16580,0.017007827758789062
